Entity,Code,Share of the population using the Internet,People who report having friends or relatives they can count on
Afghanistan,AFG,11.0,
Albania,ALB,59.6,
Algeria,DZA,42.9455,
Andorra,AND,89.7,
Angola,AGO,23.2,
Antigua and Barbuda,ATG,70.9743,
Argentina,ARG,70.969,
Armenia,ARM,64.346,
Aruba,ABW,93.5425,
Australia,AUS,86.54,93.6
Austria,AUT,84.3237,91.5
Azerbaijan,AZE,78.2,
Bahamas,BHS,80.0,
Bahrain,BHR,98.0,
Bangladesh,BGD,18.1,
Barbados,BRB,72.2,
Belarus,BLR,71.113,
Belgium,BEL,86.5165,91.7
Belize,BLZ,44.5757,
Benin,BEN,14.5,
Bermuda,BMU,98.0,
Bhutan,BTN,46.5,
Bolivia,BOL,39.6975,
Bosnia and Herzegovina,BIH,60.2565,
Botswana,BWA,42.2576,
Brazil,BRA,60.8725,90.1
British Virgin Islands,VGB,77.7014,
Brunei,BRN,90.0,
Bulgaria,BGR,59.8255,
Burkina Faso,BFA,7.14,
Burundi,BDI,2.2,
Cambodia,KHM,32.3985,
Cameroon,CMR,20.6,
Canada,CAN,91.16,92.6
Cape Verde,CPV,50.3228,
Cayman Islands,CYM,79.0,
Central African Republic,CAF,3.1,
Chad,TCD,5.8,
Chile,CHL,83.5586,83.9
China,CHN,53.2,
Colombia,COL,58.1365,88.9
Comoros,COM,7.93832,
Congo,COG,8.12195,
Costa Rica,CRI,65.8804,89.3
Cote d'Ivoire,CIV,41.2078,
Croatia,HRV,72.6973,
Cuba,CUB,42.9787,
Curacao,CUW,61.8555,
Cyprus,CYP,75.9002,
Czechia,CZE,76.4812,89.0
Democratic Republic of Congo,COD,10.1,
Denmark,DNK,96.9678,95.3
Djibouti,DJI,30.8,
Dominica,DMA,67.03,
Dominican Republic,DOM,63.8709,
East Asia and Pacific (WB),WB_EAP,53.9,
East Timor,TLS,21.2,
Ecuador,ECU,54.0629,
Egypt,EGY,41.2481,
El Salvador,SLV,28.9971,
Equatorial Guinea,GNQ,23.78,
Eritrea,ERI,1.17712,
Estonia,EST,87.2402,90.5
Eswatini,SWZ,28.57,
Ethiopia,ETH,15.3669,
Europe and Central Asia (WB),WB_ECA,72.3,
Faroe Islands,FRO,95.1087,
Fiji,FJI,49.42,
Finland,FIN,87.7036,94.6
France,FRA,79.2698,88.4
French Polynesia,PYF,68.4404,
Gabon,GAB,48.0523,
Gambia,GMB,19.9,
Georgia,GEO,58.4593,
Germany,DEU,84.1652,92.0
Ghana,GHA,28.0,
Gibraltar,GIB,94.4445,
Greece,GRC,69.0879,82.3
Greenland,GRL,68.5009,
Grenada,GRD,53.3,
Guam,GUM,77.01,
Guatemala,GTM,34.5093,
Guinea,GIN,13.1,
Guinea-Bissau,GNB,13.8,
Guyana,GUY,35.66,
Haiti,HTI,22.8,
High-income countries,OWID_HIC,82.5,
Honduras,HND,29.5282,
Hong Kong,HKG,87.4794,
Hungary,HUN,79.2594,84.2
Iceland,ISL,98.24,98.3
India,IND,16.5,
Indonesia,IDN,25.4474,
Iran,IRN,53.2268,
Iraq,IRQ,19.9,
Ireland,IRL,83.5,95.7
Israel,ISR,79.6531,86.6
Italy,ITA,61.3243,90.8
Jamaica,JAM,44.3669,
Japan,JPN,93.1827,89.7
Jordan,JOR,56.15,
Kazakhstan,KAZ,74.5877,
Kenya,KEN,16.6,
Kiribati,KIR,19.4194,
Kuwait,KWT,85.6,
Kyrgyzstan,KGZ,40.5,
Laos,LAO,21.87,
Latin America and Caribbean (WB),WB_LAC,57.5,
Latvia,LVA,79.8421,85.8
Lebanon,LBN,76.11,
Lesotho,LSO,32.4539,
Liberia,LBR,15.7,
Liechtenstein,LIE,98.0939,
Lithuania,LTU,74.3766,85.1
Low-income countries,OWID_LIC,10.0,
Lower-middle-income countries,OWID_LMC,21.9,
Luxembourg,LUX,98.1367,91.6
Macao,MAC,81.643,
Madagascar,MDG,4.71366,
Malawi,MWI,6.3,
Malaysia,MYS,78.7883,
Maldives,MDV,59.5,
Mali,MLI,14.0,
Malta,MLT,78.0751,
Marshall Islands,MHL,29.7878,
Mauritania,MRT,19.2328,
Mauritius,MUS,52.1913,
Mexico,MEX,59.5404,80.1
Micronesia (country),FSM,33.3522,
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,35.0,
Moldova,MDA,71.0,
Monaco,MCO,95.2082,
Mongolia,MNG,22.2658,
Montenegro,MNE,69.8816,
Morocco,MAR,58.2712,
Mozambique,MOZ,7.0,
Myanmar,MMR,16.0,
Namibia,NAM,31.0333,
Nepal,NPL,20.7,
Netherlands,NLD,90.411,90.1
New Zealand,NZL,86.5,95.4
Nicaragua,NIC,24.5718,
Niger,NER,4.32276,
Nigeria,NGA,24.1,
North America (WB),WB_NA,86.1,
North Macedonia,MKD,72.1568,
Norway,NOR,97.2982,94.1
Oman,OMN,76.8454,
Pakistan,PAK,12.3854,
Palestine,PSE,59.9,
Panama,PAN,54.0,
Papua New Guinea,PNG,9.60154,
Paraguay,PRY,53.4041,
Peru,PER,45.4617,
Philippines,PHL,39.2,
Poland,POL,73.3007,88.7
Portugal,PRT,70.4236,86.5
Puerto Rico,PRI,68.6438,
Qatar,QAT,95.1247,
Romania,ROU,59.504,
Russia,RUS,73.0914,89.8
Rwanda,RWA,14.6,
Saint Kitts and Nevis,KNA,67.0,
Saint Lucia,LCA,58.2226,
Saint Vincent and the Grenadines,VCT,51.5,
Samoa,WSM,31.7,
Sao Tome and Principe,STP,28.0,
Saudi Arabia,SAU,74.8793,
Senegal,SEN,25.6648,
Serbia,SRB,67.0568,
Seychelles,SYC,56.5147,
Sierra Leone,SLE,11.7732,
Singapore,SGP,84.4523,
Slovakia,SVK,80.4759,91.5
Slovenia,SVN,75.4985,90.5
Solomon Islands,SLB,11.0009,
Somalia,SOM,1.88,
South Africa,ZAF,54.0,88.3
South Asia (WB),WB_SA,16.7,
South Korea,KOR,92.843,75.9
South Sudan,SSD,3.5,
Spain,ESP,80.5613,94.8
Sri Lanka,LKA,22.19,
Sub-Saharan Africa (WB),WB_SSA,18.3,
Sudan,SDN,14.1,
Suriname,SUR,45.4,
Sweden,SWE,89.6509,91.8
Switzerland,CHE,89.1347,94.0
Syria,SYR,31.8696,
Tajikistan,TJK,20.47,
Tanzania,TZA,13.5042,
Thailand,THA,47.505,
Togo,TGO,11.31,
Tonga,TON,39.95,
Trinidad and Tobago,TTO,67.8,
Tunisia,TUN,49.6,
