Entity,Code,Year,People who report having friends or relatives they can count on,Share of the population using the Internet
Australia,AUS,2016,93.6,86.54
Austria,AUT,2016,91.5,84.3237
Belgium,BEL,2016,91.7,86.5165
Brazil,BRA,2016,90.1,60.8725
Canada,CAN,2016,92.6,91.16
Chile,CHL,2016,83.9,83.5586
Colombia,COL,2016,88.9,58.1365
Costa Rica,CRI,2016,89.3,65.8804
Czechia,CZE,2016,89.0,76.4812
Denmark,DNK,2016,95.3,96.9678
Estonia,EST,2016,90.5,87.2402
Finland,FIN,2016,94.6,87.7036
France,FRA,2016,88.4,79.2698
Germany,DEU,2016,92.0,84.1652
Greece,GRC,2016,82.3,69.0879
Hungary,HUN,2016,84.2,79.2594
Iceland,ISL,2016,98.3,98.24
Ireland,IRL,2016,95.7,83.5
Israel,ISR,2016,86.6,79.6531
Italy,ITA,2016,90.8,61.3243
Japan,JPN,2016,89.7,93.1827
Latvia,LVA,2016,85.8,79.8421
Lithuania,LTU,2016,85.1,74.3766
Luxembourg,LUX,2016,91.6,98.1367
Mexico,MEX,2016,80.1,59.5404
Netherlands,NLD,2016,90.1,90.411
New Zealand,NZL,2016,95.4,86.5
Norway,NOR,2016,94.1,97.2982
Poland,POL,2016,88.7,73.3007
Portugal,PRT,2016,86.5,70.4236
Russia,RUS,2016,89.8,73.0914
Slovakia,SVK,2016,91.5,80.4759
Slovenia,SVN,2016,90.5,75.4985
South Africa,ZAF,2016,88.3,54.0
South Korea,KOR,2016,75.9,92.843
Spain,ESP,2016,94.8,80.5613
Sweden,SWE,2016,91.8,89.6509
Switzerland,CHE,2016,94.0,89.1347
Turkey,TUR,2016,85.6,58.3477
United Kingdom,GBR,2016,93.2,94.7758
United States,USA,2016,89.9,85.5444
